Date,Adj Close
2020-01-02,85.0
2020-01-03,90.5
2020-01-06,109.5
2020-01-07,155.0
2020-01-08,161.0
2020-01-09,135.5
2020-01-10,131.0
2020-01-13,115.0
2020-01-14,116.0
2020-01-15,109.5
2020-01-16,107.0
2020-01-17,97.5
2020-01-21,101.0
2020-01-22,94.0
2020-01-23,96.0
2020-01-24,101.5
2020-01-27,88.5
2020-01-28,91.0
2020-01-29,86.5
2020-01-30,85.5
2020-01-31,79.0
2020-02-03,80.5
2020-02-04,82.0
2020-02-05,90.0
2020-02-06,87.5
2020-02-07,86.0
2020-02-10,82.0
2020-02-11,82.5
2020-02-12,84.0
2020-02-13,83.0
2020-02-14,81.5
2020-02-18,79.0
2020-02-19,74.5
2020-02-20,71.5
2020-02-21,72.0
2020-02-24,64.5
2020-02-25,59.0
2020-02-26,59.0
2020-02-27,53.0
2020-02-28,51.0
2020-03-02,59.5
2020-03-03,57.0
2020-03-04,62.0
2020-03-05,60.5
2020-03-06,54.0
2020-03-09,43.0
2020-03-10,45.5
2020-03-11,45.5
2020-03-12,43.0
2020-03-13,42.5
2020-03-16,39.5
2020-03-17,42.0
2020-03-18,35.5
2020-03-19,38.5
2020-03-20,38.0
2020-03-23,35.0
2020-03-24,37.0
2020-03-25,44.0
2020-03-26,49.5
2020-03-27,57.5
2020-03-30,51.5
2020-03-31,56.5
2020-04-01,54.5
2020-04-02,69.0
2020-04-03,89.0
2020-04-06,91.5
2020-04-07,86.5
2020-04-08,91.5
2020-04-09,94.5
2020-04-13,95.0
2020-04-14,91.0
2020-04-15,88.5
2020-04-16,88.0
2020-04-17,90.0
2020-04-20,86.0
2020-04-21,81.0
2020-04-22,84.5
2020-04-23,95.0
2020-04-24,92.0
2020-04-27,86.0
2020-04-28,87.5
2020-04-29,88.0
2020-04-30,87.0
2020-05-01,82.5
2020-05-04,83.5
2020-05-05,81.0
2020-05-06,76.5
2020-05-07,76.0
2020-05-08,77.5
2020-05-11,75.5
2020-05-12,71.0
2020-05-13,66.0
2020-05-14,62.0
2020-05-15,63.0
2020-05-18,66.0
2020-05-19,67.0
2020-05-20,67.5
2020-05-21,65.5
2020-05-22,66.5
2020-05-26,67.0
2020-05-27,67.0
2020-05-28,64.5
2020-05-29,64.0
2020-06-01,67.5
2020-06-02,69.0
2020-06-03,69.0
2020-06-04,68.0
2020-06-05,82.0
2020-06-08,126.5
2020-06-09,90.5
2020-06-10,80.0
2020-06-11,65.5
2020-06-12,75.0
2020-06-15,72.5
2020-06-16,84.0
2020-06-17,74.5
2020-06-18,75.0
2020-06-19,71.5
2020-06-22,72.0
